entry,time_min,volume_gal,ph,conductivity,L/min,well,DTW_m,distance_m,time_sec,drawdown_m
1,0,0,3.78,1860,1.2,EFPW01,3.98,0,1,0
2,5,,,,1.2,EFPW01,5.39,0,300,1.41
3,10,,3.71,1866,1.2,EFPW01,5.59,0,600,1.61
4,15,,,,1,EFPW01,5.69,0,900,1.71
5,20,,3.69,2238,1,EFPW01,5.83,0,1200,1.85
6,25,,3.73,2274,1,EFPW01,5.89,0,1500,1.91
7,30,,3.65,2324,1,EFPW01,5.94,0,1800,1.96
8,35,,,,1,EFPW01,5.98,0,2100,2
9,40,10,3.59,2390,1,EFPW01,5.99,0,2400,2.01
10,45,,,,0.92,EFPW01,6.01,0,2700,2.03
11,50,,3.58,2407,0.86,EFPW01,6.02,0,3000,2.04
12,55,,3.56,2408,0.92,EFPW01,6.04,0,3300,2.06
13,60,13.75,3.54,2418,0.92,EFPW01,6.05,0,3600,2.07
14,65,,,,0.92,EFPW01,6.07,0,3900,2.09
15,70,,3.6,2439,0.92,EFPW01,6.08,0,4200,2.1
16,75,16.75,3.53,2446,0.9,EFPW01,6.1,0,4500,2.12
17,80,,3.51,2461,0.9,EFPW01,6.12,0,4800,2.14
18,85,,,,0.92,EFPW01,6.13,0,5100,2.15
19,90,,,,0.92,EFPW01,6.14,0,5400,2.16
20,95,,3.49,2512,0.86,EFPW01,6.15,0,5700,2.17
21,105,21.5,,,0.92,EFPW01,6.16,0,6300,2.18
22,110,,3.46,2533,0.9,EFPW01,6.18,0,6600,2.2
23,115,24,3.47,2546,0.9,EFPW01,6.185,0,6900,2.205
24,120,,3.42,2559,0.86,EFPW01,6.2,0,7200,2.22
25,125,,3.47,2568,0.86,EFPW01,6.21,0,7500,2.23
26,130,,3.46,2565,0.86,EFPW01,6.21,0,7800,2.23
27,135,28,3.46,2585,0.86,EFPW01,6.22,0,8100,2.24
28,140,,3.46,2580,0.9,EFPW01,6.23,0,8400,2.25
29,145,,3.45,2607,0.86,EFPW01,6.23,0,8700,2.25
30,150,30.75,,,0.86,EFPW01,6.23,0,9000,2.25
31,155,,,,0.92,EFPW01,6.24,0,9300,2.26
32,160,32.5,3.44,2630,0.86,EFPW01,6.24,0,9600,2.26
33,165,,3.44,2630,0.86,EFPW01,6.24,0,9900,2.26
34,170,,3.43,2632,0.86,EFPW01,6.245,0,10200,2.265
35,180,36,3.44,2654,0.86,EFPW01,6.25,0,10800,2.27
36,190,,3.44,2646,0.92,EFPW01,6.265,0,11400,2.285
37,200,39.75,3.43,2654,0.92,EFPW01,6.28,0,12000,2.3
38,210,41.5,3.43,2652,0.9,EFPW01,6.29,0,12600,2.31
39,225,44.25,3.44,2680,0.86,EFPW01,6.3,0,13500,2.32
40,240,47,3.45,2675,0.86,EFPW01,6.305,0,14400,2.325
41,255,,3.43,2681,0.86,EFPW01,6.31,0,15300,2.33
42,260,50,3.4,2718,0.86,EFPW01,6.315,0,15600,2.335
43,262,,3.39,2725,0.86,EFPW01,6.315,0,15720,2.335
1,0,0,3.78,1860,1.2,FW117,4.194,7.06,1,0
2,5,,,,1.2,FW117,4.194,7.06,300,0
3,10,,3.71,1866,1.2,FW117,4.194,7.06,600,0
4,15,,,,1,FW117,4.198,7.06,900,0.004
5,20,,3.69,2238,1,FW117,4.199,7.06,1200,0.005
6,25,,3.73,2274,1,FW117,4.203,7.06,1500,0.009
7,30,,3.65,2324,1,FW117,4.205,7.06,1800,0.011
8,35,,,,1,FW117,4.205,7.06,2100,0.011
9,40,10,3.59,2390,1,FW117,4.21,7.06,2400,0.016
10,45,,,,0.92,FW117,4.212,7.06,2700,0.018
11,50,,3.58,2407,0.86,FW117,4.213,7.06,3000,0.019
12,55,,3.56,2408,0.92,FW117,4.217,7.06,3300,0.023
13,60,13.75,3.54,2418,0.92,FW117,4.221,7.06,3600,0.027
14,65,,,,0.92,FW117,4.223,7.06,3900,0.029
15,70,,3.6,2439,0.92,FW117,4.222,7.06,4200,0.028
16,75,16.75,3.53,2446,0.9,FW117,4.222,7.06,4500,0.028
17,80,,3.51,2461,0.9,FW117,4.225,7.06,4800,0.031
18,85,,,,0.92,FW117,4.228,7.06,5100,0.034
19,90,,,,0.92,FW117,4.23,7.06,5400,0.036
20,95,,3.49,2512,0.86,FW117,4.231,7.06,5700,0.037
21,105,21.5,,,0.92,FW117,4.234,7.06,6300,0.04
22,110,,3.46,2533,0.9,FW117,4.238,7.06,6600,0.044
23,115,24,3.47,2546,0.9,FW117,4.237,7.06,6900,0.043
24,120,,3.42,2559,0.86,FW117,4.24,7.06,7200,0.046
25,125,,3.47,2568,0.86,FW117,4.242,7.06,7500,0.048
26,130,,3.46,2565,0.86,FW117,4.241,7.06,7800,0.047
27,135,28,3.46,2585,0.86,FW117,4.243,7.06,8100,0.049
28,140,,3.46,2580,0.9,FW117,4.247,7.06,8400,0.053
29,145,,3.45,2607,0.86,FW117,4.245,7.06,8700,0.051
30,150,30.75,,,0.86,FW117,4.248,7.06,9000,0.054
31,155,,,,0.92,FW117,4.247,7.06,9300,0.053
32,160,32.5,3.44,2630,0.86,FW117,4.249,7.06,9600,0.055
33,165,,3.44,2630,0.86,FW117,4.251,7.06,9900,0.057
34,170,,3.43,2632,0.86,FW117,4.253,7.06,10200,0.059
35,180,36,3.44,2654,0.86,FW117,4.253,7.06,10800,0.059
36,190,,3.44,2646,0.92,FW117,4.252,7.06,11400,0.058
37,200,39.75,3.43,2654,0.92,FW117,4.256,7.06,12000,0.062
38,210,41.5,3.43,2652,0.9,FW117,4.255,7.06,12600,0.061
39,225,44.25,3.44,2680,0.86,FW117,4.26,7.06,13500,0.066
40,240,47,3.45,2675,0.86,FW117,4.261,7.06,14400,0.067
41,255,,3.43,2681,0.86,FW117,4.26,7.06,15300,0.066
42,260,50,3.4,2718,0.86,FW117,4.262,7.06,15600,0.068
43,262,,3.39,2725,0.86,FW117,4.266,7.06,15720,0.072
1,0,0,3.78,1860,1.2,FW112,4.173,9.24,1,0
2,5,,,,1.2,FW112,4.173,9.24,300,0
3,10,,3.71,1866,1.2,FW112,4.172,9.24,600,-0.001
4,15,,,,1,FW112,4.173,9.24,900,0
5,20,,3.69,2238,1,FW112,4.171,9.24,1200,-0.002
6,25,,3.73,2274,1,FW112,4.172,9.24,1500,-0.001
7,30,,3.65,2324,1,FW112,4.172,9.24,1800,-0.001
8,35,,,,1,FW112,4.173,9.24,2100,0
9,40,10,3.59,2390,1,FW112,4.174,9.24,2400,0.001
10,45,,,,0.92,FW112,4.178,9.24,2700,0.005
11,50,,3.58,2407,0.86,FW112,4.18,9.24,3000,0.007
12,55,,3.56,2408,0.92,FW112,4.178,9.24,3300,0.005
13,60,13.75,3.54,2418,0.92,FW112,4.176,9.24,3600,0.003
14,65,,,,0.92,FW112,4.181,9.24,3900,0.008
15,70,,3.6,2439,0.92,FW112,4.177,9.24,4200,0.004
16,75,16.75,3.53,2446,0.9,FW112,4.179,9.24,4500,0.006
17,80,,3.51,2461,0.9,FW112,4.177,9.24,4800,0.004
18,85,,,,0.92,FW112,4.175,9.24,5100,0.002
19,90,,,,0.92,FW112,4.18,9.24,5400,0.007
20,95,,3.49,2512,0.86,FW112,4.181,9.24,5700,0.008
21,105,21.5,,,0.92,FW112,4.18,9.24,6300,0.007
22,110,,3.46,2533,0.9,FW112,4.182,9.24,6600,0.009
23,115,24,3.47,2546,0.9,FW112,4.18,9.24,6900,0.007
24,120,,3.42,2559,0.86,FW112,4.183,9.24,7200,0.01
25,125,,3.47,2568,0.86,FW112,4.184,9.24,7500,0.011
26,130,,3.46,2565,0.86,FW112,4.184,9.24,7800,0.011
27,135,28,3.46,2585,0.86,FW112,4.182,9.24,8100,0.009
28,140,,3.46,2580,0.9,FW112,4.186,9.24,8400,0.013
29,145,,3.45,2607,0.86,FW112,4.185,9.24,8700,0.012
30,150,30.75,,,0.86,FW112,4.184,9.24,9000,0.011
31,155,,,,0.92,FW112,4.186,9.24,9300,0.013
32,160,32.5,3.44,2630,0.86,FW112,4.186,9.24,9600,0.013
33,165,,3.44,2630,0.86,FW112,4.187,9.24,9900,0.014
34,170,,3.43,2632,0.86,FW112,4.187,9.24,10200,0.014
35,180,36,3.44,2654,0.86,FW112,4.189,9.24,10800,0.016
36,190,,3.44,2646,0.92,FW112,4.189,9.24,11400,0.016
37,200,39.75,3.43,2654,0.92,FW112,4.188,9.24,12000,0.015
38,210,41.5,3.43,2652,0.9,FW112,4.191,9.24,12600,0.018
39,225,44.25,3.44,2680,0.86,FW112,4.187,9.24,13500,0.014
40,240,47,3.45,2675,0.86,FW112,4.193,9.24,14400,0.02
41,255,,3.43,2681,0.86,FW112,4.192,9.24,15300,0.019
42,260,50,3.4,2718,0.86,FW112,4.19,9.24,15600,0.017
43,262,,3.39,2725,0.86,FW112,4.191,9.24,15720,0.018
1,0,0,3.78,1860,1.2,FW114,3.174,8.89,1,0
2,5,,,,1.2,FW114,3.172,8.89,300,-0.002
3,10,,3.71,1866,1.2,FW114,3.169,8.89,600,-0.005
4,15,,,,1,FW114,3.172,8.89,900,-0.002
5,20,,3.69,2238,1,FW114,3.174,8.89,1200,0
6,25,,3.73,2274,1,FW114,3.172,8.89,1500,-0.002
7,30,,3.65,2324,1,FW114,3.17,8.89,1800,-0.004
8,35,,,,1,FW114,3.177,8.89,2100,0.003
9,40,10,3.59,2390,1,FW114,3.176,8.89,2400,0.002
10,45,,,,0.92,FW114,3.176,8.89,2700,0.002
11,50,,3.58,2407,0.86,FW114,3.176,8.89,3000,0.002
12,55,,3.56,2408,0.92,FW114,3.178,8.89,3300,0.004
13,60,13.75,3.54,2418,0.92,FW114,3.179,8.89,3600,0.005
14,65,,,,0.92,FW114,3.181,8.89,3900,0.007
15,70,,3.6,2439,0.92,FW114,3.181,8.89,4200,0.007
16,75,16.75,3.53,2446,0.9,FW114,3.185,8.89,4500,0.011
17,80,,3.51,2461,0.9,FW114,3.183,8.89,4800,0.009
18,85,,,,0.92,FW114,3.183,8.89,5100,0.009
19,90,,,,0.92,FW114,3.185,8.89,5400,0.011
20,95,,3.49,2512,0.86,FW114,3.185,8.89,5700,0.011
21,105,21.5,,,0.92,FW114,3.191,8.89,6300,0.017
22,110,,3.46,2533,0.9,FW114,3.19,8.89,6600,0.016
23,115,24,3.47,2546,0.9,FW114,3.19,8.89,6900,0.016
24,120,,3.42,2559,0.86,FW114,3.193,8.89,7200,0.019
25,125,,3.47,2568,0.86,FW114,3.192,8.89,7500,0.018
26,130,,3.46,2565,0.86,FW114,3.196,8.89,7800,0.022
27,135,28,3.46,2585,0.86,FW114,3.194,8.89,8100,0.02
28,140,,3.46,2580,0.9,FW114,3.197,8.89,8400,0.023
29,145,,3.45,2607,0.86,FW114,3.197,8.89,8700,0.023
30,150,30.75,,,0.86,FW114,3.202,8.89,9000,0.028
31,155,,,,0.92,FW114,3.201,8.89,9300,0.027
32,160,32.5,3.44,2630,0.86,FW114,3.205,8.89,9600,0.031
33,165,,3.44,2630,0.86,FW114,3.206,8.89,9900,0.032
34,170,,3.43,2632,0.86,FW114,3.207,8.89,10200,0.033
35,180,36,3.44,2654,0.86,FW114,3.209,8.89,10800,0.035
36,190,,3.44,2646,0.92,FW114,3.207,8.89,11400,0.033
37,200,39.75,3.43,2654,0.92,FW114,3.208,8.89,12000,0.034
38,210,41.5,3.43,2652,0.9,FW114,3.214,8.89,12600,0.04
39,225,44.25,3.44,2680,0.86,FW114,3.211,8.89,13500,0.037
40,240,47,3.45,2675,0.86,FW114,3.216,8.89,14400,0.042
41,255,,3.43,2681,0.86,FW114,3.214,8.89,15300,0.04
42,260,50,3.4,2718,0.86,FW114,3.215,8.89,15600,0.041
43,262,,3.39,2725,0.86,FW114,3.219,8.89,15720,0.045
